[2025-11-27 19:51:37] Evento: impresion | ID: 3 | Ciudad: cali | IP: 172.70.54.254 | OK.
[2025-11-27 19:52:57] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 19:54:06] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.69.90.15 | OK.
[2025-11-27 19:56:47] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 20:00:28] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:00:45] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 20:00:59] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 20:01:20] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 20:01:34] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:09:27] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:12:49] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 20:13:24] Evento: impresion | ID: 3 | Ciudad: armenia | IP: 172.70.254.210 | OK.
[2025-11-27 20:18:13] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 20:18:32] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 20:18:39] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 20:18:56] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 20:22:32] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 20:22:51] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 20:24:24] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:24:43] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:25:03] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:25:21] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:25:22] Evento: click | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:25:57] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:26:16] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:26:20] Evento: click | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:32:46] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 20:33:25] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:33:32] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 20:38:22] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.47 | OK.
[2025-11-27 20:38:29] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.22.1.145 | OK.
[2025-11-27 20:40:42] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.120 | OK.
[2025-11-27 20:45:48] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 20:49:02] Evento: impresion | ID: 3 | Ciudad: ibague | IP: 104.23.248.110 | OK.
[2025-11-27 20:56:20] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 20:56:42] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 20:57:11] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 21:06:49] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.85 | OK.
[2025-11-27 21:06:59] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.85 | OK.
[2025-11-27 21:10:45] Evento: impresion | ID: 3 | Ciudad: ibague | IP: 172.70.254.211 | OK.
[2025-11-27 21:15:49] Evento: impresion | ID: 3 | Ciudad: tunja | IP: 104.23.245.49 | OK.
[2025-11-27 21:15:55] Evento: impresion | ID: 3 | Ciudad: tunja | IP: 104.23.245.49 | OK.
[2025-11-27 21:16:01] Evento: click | ID: 3 | Ciudad: tunja | IP: 104.23.245.48 | OK.
[2025-11-27 21:16:52] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 21:17:13] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 21:17:36] Evento: impresion | ID: 3 | Ciudad: ibague | IP: 172.70.54.254 | OK.
[2025-11-27 21:18:01] Evento: impresion | ID: 3 | Ciudad: ibague | IP: 172.70.55.2 | OK.
[2025-11-27 21:18:16] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.55.2 | OK.
[2025-11-27 21:18:28] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.55.2 | OK.
[2025-11-27 21:19:07] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.55.2 | OK.
[2025-11-27 21:19:27] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.54.254 | OK.
[2025-11-27 21:19:42] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.55.2 | OK.
[2025-11-27 21:19:49] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 162.158.217.90 | OK.
[2025-11-27 21:19:54] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.54.254 | OK.
[2025-11-27 21:20:03] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.54.254 | OK.
[2025-11-27 21:20:15] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.54.254 | OK.
[2025-11-27 21:20:34] Evento: impresion | ID: 3 | Ciudad: medellin | IP: 172.70.55.2 | OK.
[2025-11-27 21:20:38] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 162.158.217.12 | OK.
[2025-11-27 21:20:43] Evento: impresion | ID: 3 | Ciudad: medellin | IP: 172.70.54.254 | OK.
[2025-11-27 21:21:03] Evento: impresion | ID: 3 | Ciudad: medellin | IP: 172.70.55.2 | OK.
[2025-11-27 21:25:55] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 21:27:57] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 21:28:11] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 21:39:58] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 21:46:54] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.69.90.14 | OK.
[2025-11-27 21:47:21] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.69.90.14 | OK.
[2025-11-27 21:49:08] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.122 | OK.
[2025-11-27 21:52:31] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 21:52:41] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 21:53:03] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 21:56:23] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 21:56:34] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 21:56:58] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 21:59:22] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 21:59:29] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 22:04:52] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 22:07:38] Evento: impresion | ID: 3 | Ciudad: villavicencio | IP: 172.70.55.2 | OK.
[2025-11-27 22:07:38] Evento: click | ID: 3 | Ciudad: villavicencio | IP: 172.70.54.254 | OK.
[2025-11-27 22:07:38] Evento: click | ID: 3 | Ciudad: villavicencio | IP: 172.70.55.2 | OK.
[2025-11-27 22:08:51] Evento: impresion | ID: 3 | Ciudad: armenia | IP: 172.68.7.47 | OK.
[2025-11-27 22:12:15] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.22.1.144 | OK.
[2025-11-27 22:12:18] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.22.1.144 | OK.
[2025-11-27 22:12:41] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 22:13:15] Evento: impresion | ID: 3 | Ciudad: cartagena | IP: 172.69.71.216 | OK.
[2025-11-27 22:17:26] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 22:17:37] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.47 | OK.
[2025-11-27 22:20:31] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 22:22:35] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 22:22:40] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 22:24:01] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 22:24:10] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 22:24:15] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 22:27:15] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 22:27:21] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 22:28:22] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 22:28:30] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.144.62 | OK.
[2025-11-27 22:28:38] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 22:28:41] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 22:31:08] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.85 | OK.
[2025-11-27 22:33:11] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 22:33:35] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 22:42:02] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 22:42:06] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
